GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-J2S48_RS10895	399.696561452923	1.53045881229772	0.41699632918908	3.67019732589482	0.000242363300217015	0.00107061619250971
gene-J2S48_RS24815	7718.85165593292	-1.03171802628291	0.281095572276662	-3.67034606033377	0.000242222311591915	0.00107061619250971
MSTRG.510.1	168.982657638105	-2.29665491576129	0.625848598420699	-3.66966534966572	0.0002428682024778	0.00107149535677548
gene-J2S48_RS02690	277.880675514537	1.27246856461021	0.346962474720139	3.66745298792495	0.000244978573739665	0.0010790826226593
MSTRG.2246.1	101.794096413205	-2.91803712138821	0.795708729897791	-3.66721767871396	0.000245204044429576	0.0010790826226593
gene-J2S48_RS23880	885.448580118976	-1.14755313780995	0.313255882911024	-3.6633091361157	0.000248977753988827	0.00109431502160961
gene-J2S48_RS16755	6126.92822382887	-1.32372652866964	0.361564546339712	-3.66110710264696	0.000251127744688949	0.00110238156597166
gene-J2S48_RS25065	3296.37351558312	1.3537567070089	0.370244773076216	3.65638303482605	0.000255799047278663	0.0011214819306848
MSTRG.1053.1	157.861754183458	-2.20805266990311	0.604915415699196	-3.65018416227815	0.000262052355234414	0.00114746175048269
MSTRG.2093.1	166.249791169812	-1.50424516601177	0.412481018354619	-3.64682276050467	0.000265502923907002	0.00116111952864698
gene-J2S48_RS04185	444.230138964952	1.20162819394961	0.329586377476392	3.64586729327332	0.000266491483408791	0.00116398960895386
MSTRG.1579.1	232.254988171327	-1.52434790710136	0.418349336818247	-3.6437201471258	0.000268725598554825	0.00117228614164079
gene-J2S48_RS09525	5002.64016489032	1.04439198264902	0.28675850282159	3.64206108056996	0.000270463875654098	0.00117840168708495
gene-J2S48_RS04825	815.765843710251	1.22558093376572	0.33677860603785	3.63912942150482	0.000273561296934409	0.00118893948283031
gene-J2S48_RS13775	1341.65941346337	1.15792567655324	0.318161287734457	3.63942981498007	0.000273242396447154	0.00118893948283031
gene-J2S48_RS08180	61.5398222507024	-2.08988517174497	0.574371790304181	-3.6385581726397	0.000274168702647621	0.00119010280715566
gene-J2S48_RS10990	883.466049740015	1.5742890488202	0.432820478371987	3.63727948996717	0.00027553290299946	0.00119454425644444
gene-J2S48_RS05375	240.719767518061	1.61055276514756	0.44284302970804	3.63684795086279	0.000275994737174769	0.00119461472058596
gene-J2S48_RS11920	69.6557314091603	-2.18534572578099	0.600926510638674	-3.63662725323663	0.000276231208585393	0.00119461472058596
gene-J2S48_RS24135	391.679556155822	-1.32347135771112	0.364044127407118	-3.6354695985277	0.0002774747169202	0.00119851286482301
gene-J2S48_RS07765	622.473284483821	-1.39708512532964	0.384525257457639	-3.63327271286867	0.000279848963792206	0.00120727945833017
MSTRG.725.1	40.744964310158	2.457640107167	0.676551015630989	3.63260131222309	0.000280578358142732	0.00120893725531856
gene-J2S48_RS08040	403.883350168833	1.23935606595338	0.341563547438972	3.62847872744621	0.000285096236411536	0.00122689449158429
gene-J2S48_RS16095	194.144623939647	1.3574855711716	0.374270304579728	3.62701917453999	0.000286712010155264	0.0012323339528514
gene-J2S48_RS19370	370.754321331501	1.09267039047956	0.301296340697202	3.62656376095081	0.000287217921704128	0.00123299556339407
gene-J2S48_RS16745	387.750050466102	1.39399477804477	0.384756138160722	3.62306053051833	0.000291137656947004	0.00124829279349492
MSTRG.46.1	2074.53708483644	-1.07564596327764	0.297260657748191	-3.61852783151957	0.000296283640975435	0.00126880390505739
MSTRG.272.1	3988.27409633483	1.47092938682174	0.406710007891679	3.61665402444068	0.000298435766276237	0.00127645969385306
gene-J2S48_RS24645	275.415328603641	-1.65166268853945	0.456830184751498	-3.61548501756271	0.000299785813793362	0.00128067037282701
gene-J2S48_RS01100	880.412352335711	1.23270954573177	0.34106466803629	3.61429858105562	0.000301161836933651	0.00128498162579608
gene-J2S48_RS07640	326.186234800835	-1.32378892781419	0.366382451893253	-3.61313409245889	0.000302518155027224	0.00128919841491529
gene-J2S48_RS20270	296.153170709133	1.29220366974549	0.357850655449182	3.6110138407417	0.00030500238273322	0.0012982057675753
gene-J2S48_RS10340	3551.77468324368	1.98896225184626	0.551011546525143	3.60965621208721	0.000306603088907066	0.00130343521898234
gene-J2S48_RS05745	550.512540700082	-1.1271452259241	0.312577745372268	-3.6059676116152	0.000310991926702859	0.0013204905687759
gene-J2S48_RS10170	15.764020412083	3.71314173145104	1.02984587842992	3.60553147730416	0.000311514726911859	0.00132110906582596
gene-J2S48_RS23440	155.579942923592	1.76257289097855	0.489057364903182	3.60402074985107	0.00031333202520573	0.00132720929177228
gene-J2S48_RS12430	16995.7038683149	1.94331284276684	0.539305366612862	3.60336270149123	0.000314126709991062	0.00132896843610953
gene-J2S48_RS05400	886.499912781565	-1.21808530784644	0.339388307768995	-3.58906090741207	0.000331871304571242	0.00140234641726545
gene-J2S48_RS11390	6290.75057327896	1.0635669879994	0.296440769626882	3.58778918749291	0.000333493755325577	0.00140750436735602
gene-J2S48_RS19930	187.538896014316	1.4314402611678	0.399147922426193	3.58624003969979	0.000335480173615408	0.00141418417349552
gene-J2S48_RS00465	184.932487353554	1.45435666507819	0.405693297363068	3.58486737279427	0.000337249542040461	0.00141993406943237
gene-J2S48_RS22100	80.2489089713057	2.03244900582984	0.567355192169716	3.58232203367562	0.000340553613602626	0.0014321240197479
gene-J2S48_RS01855	153.051620962387	1.58472437540718	0.442817147808393	3.57873308034785	0.000345263868781599	0.00145019104597355
gene-J2S48_RS12195	202.590947443194	1.65620648084306	0.462865979204818	3.57815556824536	0.000346027482149579	0.00145165780834728
gene-J2S48_RS20450	150.645724167006	-1.60348904777697	0.448854782287354	-3.57240049800878	0.000353723899382375	0.0014821708367661
gene-J2S48_RS24940	15874.2888809148	1.24308390020455	0.348150119150129	3.57053992467114	0.000356246147396465	0.00149095609836298
MSTRG.96.1	253.559995946743	-1.33100362233722	0.372874614445405	-3.56957425035998	0.000357561864608078	0.00149467686363019
gene-J2S48_RS01050	105.701086320064	-1.67903731984914	0.470793476878295	-3.5663988613062	0.000361920395219467	0.00150929421958785
gene-J2S48_RS12115	3628.30600481536	-1.70399454904432	0.47778106592097	-3.56647567387314	0.000361814378713768	0.00150929421958785
gene-J2S48_RS12000	2524.84755405687	-1.42010387296899	0.398721245748356	-3.56164585687832	0.000368537276694874	0.0015350607375293
gene-J2S48_RS17370	609.853412102273	-1.44888964273042	0.406923059238891	-3.56059852061572	0.000370010450149665	0.00153936651647776
gene-J2S48_RS13360	317.020814441483	-1.43795627295342	0.40398898551275	-3.55939474718189	0.000371710466324755	0.00154460470170299
gene-J2S48_RS17225	2406.76005028	-1.04355317540649	0.293308536103073	-3.55786841143883	0.000373876517172464	0.00155176473892789
gene-J2S48_RS06935	242.164813774432	-1.44646035428557	0.407036889504021	-3.55363455152209	0.000379946783077536	0.00157509299540901
gene-J2S48_RS04615	9.7646080253441	-3.9399760485915	1.10911657768633	-3.55235520580757	0.000381799081395091	0.00158090092450001
gene-J2S48_RS25375	1039.07785649752	1.17301340987396	0.330481675602134	3.54940529678912	0.000386102316907914	0.00159683166012801
MSTRG.2703.1	91.4458888048276	-1.61956854875105	0.456553456833053	-3.54737988402369	0.000389083124996215	0.00160726201280866
gene-J2S48_RS07340	377.55930160865	-1.49979828103828	0.423011554672326	-3.5455255641895	0.000391830978562286	0.00161670661708326
gene-J2S48_RS00810	610.433927746239	1.37409672297256	0.387770715927203	3.54358043692634	0.000394732877034273	0.00162485225411405
gene-J2S48_RS22580	57.095434726096	2.2973278443945	0.648534659285001	3.54233626762102	0.000396599546504673	0.00163061996643881
gene-J2S48_RS24735	388.322373907456	1.40073882927641	0.39629275479539	3.53460620293102	0.000408383285144968	0.00167710040781105
MSTRG.1288.1	361.04092129728	-1.63171544777466	0.46173424034883	-3.53388444084618	0.000409500076219882	0.0016777529438576
gene-J2S48_RS25435	17.0229484394548	3.68344957649314	1.04228711221377	3.53400664109686	0.000409310793931835	0.0016777529438576
